date,close
2026-01-01,100.90
2026-01-02,102.38
2026-01-03,104.13
2026-01-04,105.71
2026-01-05,106.74
2026-01-06,107.08
2026-01-07,106.89
2026-01-08,106.55
2026-01-09,106.50
2026-01-10,106.98
2026-01-11,107.95
2026-01-12,109.11
2026-01-13,110.04
2026-01-14,110.42
2026-01-15,110.18
2026-01-16,109.55
2026-01-17,108.96
2026-01-18,108.83
2026-01-19,109.38
2026-01-20,110.53
2026-01-21,111.04
2026-01-22,111.37
2026-01-23,111.22
2026-01-24,110.54
2026-01-25,109.57
2026-01-26,108.72
2026-01-27,108.36
2026-01-28,108.64
2026-01-29,109.41
2026-01-30,110.27
2026-01-31,110.78
2026-02-01,110.65
2026-02-02,109.86
2026-02-03,108.71
2026-02-04,107.62
2026-02-05,108.10
2026-02-06,109.13
2026-02-07,110.53
2026-02-08,111.93
2026-02-09,112.91
2026-02-10,113.25
2026-02-11,113.04
2026-02-12,112.60
2026-02-13,112.39
2026-02-14,112.76
2026-02-15,113.81
2026-02-16,115.32
2026-02-17,116.89
2026-02-18,118.12
2026-02-19,118.81
2026-02-20,119.05
2026-02-21,119.18
2026-02-22,119.64
2026-02-23,120.70
2026-02-24,122.39
2026-02-25,122.96
2026-02-26,123.44
2026-02-27,123.42
2026-02-28,122.72
2026-03-01,121.48
2026-03-02,120.06
2026-03-03,118.88
2026-03-04,118.22
2026-03-05,118.07
2026-03-06,118.12
2026-03-07,117.96
2026-03-08,117.24
2026-03-09,115.87
2026-03-10,114.04
2026-03-11,112.19
2026-03-12,110.73
2026-03-13,109.93
2026-03-14,110.83
2026-03-15,112.01
2026-03-16,113.06
2026-03-17,113.64
2026-03-18,113.69
2026-03-19,113.42
2026-03-20,113.26
2026-03-21,113.59
2026-03-22,114.57
2026-03-23,116.10
2026-03-24,117.80
2026-03-25,119.21
2026-03-26,120.02
2026-03-27,120.18
2026-03-28,119.96
2026-03-29,119.76
2026-03-30,119.97
2026-03-31,120.71
